Month View,,,,,,,,
Year,2025,,,,,,,
Month,December,,,,,,,
Date Range View,,,,,,,,
Start Date,,,,,,,,
End Date,,,,,,,,
,,,,,,,,
,,,,,,,,
,Data to be taken from pablo,,,"data to be taken from all tags that show ""meta playbook"" + ""A8x meta ads""",,,"Data to be taken from all tags that show ""meta book a call""",
,,,,,,,,
,MBA,,,Playbook,,,Book-a-Call,
Meta,Spend,£441.78,Meta,Spend,"£7,603.20",Meta,Spend,"£3,146.66"
Meta,Revenue,"£1,036.96",Meta,Leads,"3,822",Meta,Calls,158
Calculated,ROAS,2.35,Sheet,Cash Collected (Revenue),"£5,209.79",Sheet,Cash collected (revenue),"£4,242.26"
Meta,MBA sales,7,Calculated,ROAS,0.69,Calculated,ROAS,1.35
TBC,MBA upsell sales,,,,,,,
,,,,,,,,
,"Data to be taken from ""december 2025"" sheet",,,,,,,
,Call data,,,,,,,
,Total Calls on Calendar,83,,,,,,
,Total Calls Taken,27,,,,,,
,Total No Show,27,,,,,,
,Total Cancelled,24,,,,,,
,Total Rescheduled,6,,,,,,
,Total Closed,11,,,,,,
,Total Cash Collected,"£32,583.00",,,,,,
,Total Revenue,"£73,983.00",,,,,,
,Close Rate,40.74%,,,,,,
,Reschedule Rate,7.23%,,,,,,
,No Show Rate,32.53%,,,,,,
